Comment,Designator,Footprint,LCSC,Quantity
10uF,"C28,C29,C6",C_0402_1005Metric,C105884,3
100k,R2,R_0201_0603Metric,C106224,1
10k,R1,R_0201_0603Metric,C106225,1
ECP5-BGA256,IC1,lattice_cabga256,C1521614,1
0.1uF,"C10,C11,C12,C14,C15,C24,C26,C31,C32,C33,C35,C65,C7,C9",C_0402_1005Metric,C1525,14
W25Q128JVP,U7,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,C190862,1
2.2uH,L1,L_0805_2012Metric,C216156,1
2.2uF,"C1,C2,C23,C3,C4",C_0603_1608Metric,C23630,5
4.7uF,"C20,C27",C_0402_1005Metric,C23733,2
330R,"R11,R12,R14,R15",R_0402_1005Metric,C25104,4
10k,R110,R_0402_1005Metric,C25744,1
2.2k,R5,R_0402_1005Metric,C25879,1
5.1k,"R109,R13,R6",R_0402_1005Metric,C25905,3
27R,"R10,R9",R_0201_0603Metric,C270320,2
120k,R3,R_0201_0603Metric,C274344,1
330,R108,R_0201_0603Metric,C274872,1
TLV62569ADRLR,U1,SOT-563,C398367,1
